GE-2M,Centrifugal pump,db/picture/GE-2M_A.jpg,2,db/picture/GE-2M_C1.jpg,db/picture/GE-2M_C2.jpg,,,,,,1,db/picture/GE-2M_S1.jpg,,,,,Centrifugal pump
TVS,Self-priming Multistage pump,db/picture/TVS_A.jpg,2,db/picture/TVS_C1.jpg,db/picture/TVS_C2.jpg,,,,,,1,db/picture/TVS_S1.jpg,,,,,Multistage pump
WUO,Glassfibar reinforced plastic Sewage pump,db/picture/WUO_A.jpg,2,db/picture/WUO_C1.jpg,db/picture/WUO_C2.jpg,,,,,,1,db/picture/WUO_S1.jpg,,,,,Submersible pump (Waste)
GSP,Self-priming plastic pump,db/picture/GSP_A.jpg,2,db/picture/GSP_C1.jpg,db/picture/GSP_C2.jpg,,,,,,2,db/picture/GSP_S1.jpg,db/picture/GSP_S2.jpg,,,,Seawater pump
KFE,Energy saving booster pump,db/picture/KFE_A.jpg,4,db/picture/KFE_C1.jpg,db/picture/KFE_C2.jpg,db/picture/KFE_C3.jpg,db/picture/KFE_C4.jpg,,,,2,db/picture/KFE_S1.jpg,db/picture/KFE_S2.jpg,,,,Booster pump
