,40,1,WUO3-406-0.15SLG/LNG,0.15,0.02,5.2,0.125,2.5,,,,,,,,,,,60,WUO
,40,2,WUO3-406.0.25SLG/LNG,0.25,0.02,7.5,0.14,4,,,,,,,,,,,60,WUO
,40,3,WUO3-406-0.25TLG/LNG,0.25,0.02,7.5,0.14,4,,,,,,,,,,,60,WUO
,50,4,WUO3-506-0.4SLG/LNG,0.4,0.05,10,0.2,5.2,,,,,,,,,,,60,WUO
,50,5,WUO3-506-0.4TLG/LNG,0.4,0.05,10,0.2,5.2,,,,,,,,,,,60,WUO
,50,6,WUO3-506-0.75LG/LNG,0.75,0.05,14.2,0.25,6.8,,,,,,,,,,,60,WUO
,50,7,WUO-506-1.5LG/LNG,1.5,0.18,16.8,0.5,6,,,,,,,,,,,60,WUO
,65,8,"WUO-656-1,5LG/LNG",1.5,0.18,16.8,0.5,6,,,,,,,,,,,60,WUO
,65,9,WUO-656-2.2LG/LNG,2.2,0.28,17.5,0.7,3.8,,,,,,,,,,,60,WUO
,65,10,WUO-656-3.7LG/LNG,3.7,0.28,25,0.9,4.5,,,,,,,,,,,60,WUO
,80,11,WUO-806-2.2LG/LNG,2.2,0.28,17.5,0.7,3.8,,,,,,,,,,,60,WUO
,80,12,WUO-806-3.7LG/LNG,3.7,0.28,25,0.9,4.5,,,,,,,,,,,60,WUO
40,40,1,TVS405X2ME1.5,1.5,0.1,19.5,0.14,18,0.2,14.5,2,,,,,,,,50,TVS
40,40,2,TVS405X3ME1.5,1.5,0.1,28,0.14,26,0.2,20,3,,,,,,,,50,TVS
40,40,3,TVS405X4ME2.2,2.2,0.1,39,0.14,36,0.2,28.5,4,,,,,,,,50,TVS
50,50,4,TVS505X2ME1.5,1.5,0.16,21,0.22,19,0.32,13.5,2,,,,,,,,50,TVS
50,50,5,TVS505X3ME2.2,2.2,0.16,32,0.22,29,0.32,20,3,,,,,,,,50,TVS
50,50,6,TVS505X4ME3.7,3.7,0.16,43,0.22,40,0.32,29,4,,,,,,,,50,TVS
65,65,7,TVS655X2ME2.2,2.2,0.25,23,0.36,19.2,0.5,11.5,2,,,,,,,,50,TVS
65,65,8,TVS655X2ME3.7,3.7,0.25,29,0.36,25.5,0.5,19.5,2,,,,,,,,50,TVS
65,65,9,TVS655X3ME3.7,3.7,0.25,38.5,0.36,33,0.5,22,3,,,,,,,,50,TVS
65,65,10,TVS655X3ME5.5,5.5,0.25,44,0.36,38.5,0.5,29,3,,,,,,,,50,TVS
65,65,11,TVS655X4ME5.5,5.5,0.25,55,0.36,48.5,0.5,35.5,4,,,,,,,,50,TVS
80,80,12,TVS805X2ME5.5,5.5,0.4,33,0.56,30,0.8,24,2,,,,,,,,50,TVS
80,80,13,TVS805X3ME5.5,5.5,0.4,38.5,0.56,33.5,0.8,21,3,,,,,,,,50,TVS
80,80,14,TVS805X3ME7.5,7.5,0.4,50,0.56,46,0.8,36.5,3,,,,,,,,50,TVS
80,80,15,TVS805X4ME7.5,7.5,0.4,54,0.56,47,0.8,30,4,,,,,,,,50,TVS
80,80,16,TVS805X4ME11,11,0.4,67,0.56,60.5,0.8,47,4,,,,,,,,50,TVS
100,100,17,TVS1005X2ME7.5,7.5,0.63,34.5,0.9,29,1.25,19.5,2,,,,,,,,50,TVS
100,100,18,TVS1005X3ME11,11,0.63,52,0.9,45,1.25,31,3,,,,,,,,50,TVS
100,100,19,TVS1005X4ME15,15,0.63,70,0.9,60.5,1.25,42,4,,,,,,,,50,TVS
125,125,20,TVS1255X2ME15,15,1,43,1.4,37.5,2,23.5,2,,,,,,,,50,TVS
125,125,21,TVS1255X2ME18,18.5,1,48,1.4,42.5,2,29.5,2,,,,,,,,50,TVS
125,125,22,TVS1255X3ME22,22,1,62,1.4,52.5,2,29.5,3,,,,,,,,50,TVS
125,125,23,TVS1255X3ME30,30,1,72,1.4,63,2,43,3,,,,,,,,50,TVS
125,125,24,TVS1255X4ME37,37,1,95,1.4,86,2,57,4,,,,,,,,50,TVS
150,150,25,TVS1505X2ME30,30,1.6,54,2.24,47,3.15,33,2,,,,,,,,50,TVS
150,150,26,TVS1505X2ME37,37,1.6,57,2.24,49,3.15,35,2,,,,,,,,50,TVS
150,150,27,TVS1505X3ME45,45,1.6,80,2.24,67,3.15,45,3,,,,,,,,50,TVS
150,150,28,TVS1505X3ME55,55,1.6,88,2.24,78,3.15,59,3,,,,,,,,50,TVS
40,40,1,TVS406X2ME1.5,1.5,0.11,27.5,0.16,25,0.22,21,2,,,,,,,,60,TVS
40,40,2,TVS406X3ME2.2,2.2,0.11,42,0.16,38.5,0.22,32,3,,,,,,,,60,TVS
50,50,3,TVS506X2ME2.2,2.2,0.18,29.5,0.25,27,0.36,19,2,,,,,,,,60,TVS
50,50,4,TVS506X3ME37,3.7,0.18,47,0.25,43,0.36,33,3,,,,,,,,60,TVS
65,65,5,TVS656X2ME37,3.7,0.28,33,0.4,28,0.56,18.5,2,,,,,,,,60,TVS
65,65,6,TVS656X2ME5.5,5.5,0.28,42.5,0.4,38.5,0.56,31,2,,,,,,,,60,TVS
65,65,7,TVS656X3ME5.5,5.5,0.28,50.5,0.4,43,0.56,29,3,,,,,,,,60,TVS
65,65,8,TVS656X3ME7.5,7.5,0.28,64,0.4,57,0.56,45,3,,,,,,,,60,TVS
80,80,9,TVS806X2ME7.5,7.5,0.45,43,0.63,39.5,0.9,30,2,,,,,,,,60,TVS
80,80,10,TVS806X3ME11,11,0.45,66,0.63,59,0.9,45,3,,,,,,,,60,TVS
100,100,11,TVS1006X2ME15,15,0.71,57.5,1,51.5,1.4,40,2,,,,,,,,60,TVS
100,100,12,TVS1006X3ME18,18.5,0.71,74.5,1,65,1.4,46,3,,,,,,,,60,TVS
100,100,13,TVS1006X3ME22,22,0.71,83.5,1,75,1.4,58,3,,,,,,,,60,TVS
125,125,14,TVS1256X2ME22,22,1.12,56,1.6,48,2.24,28,2,,,,,,,,60,TVS
125,125,15,TVS1256X2ME30,30,1.12,69,1.6,62,2.24,47.5,2,,,,,,,,60,TVS
125,125,16,TVS1256X3ME37,37,1.12,90,1.6,78,2.24,53,3,,,,,,,,60,TVS
125,125,17,TVS1256X3ME45,45,1.12,102,1.6,92,2.24,66,3,,,,,,,,60,TVS
